80000450,boot_main,0
80000510,boot_80000510,C0
800033D0,boot_800033D0,2F80
80003A40,boot_80003A40,35F0
80003B50,boot_80003B50,3700
80004670,boot_80004670,4220
80004970,boot_80004970,4520
80004AD0,boot_80004AD0,4680
800051A0,boot_800051A0,4D50
800057D0,boot_800057D0,5380
80007600,boot_80007600,71B0
8000A7A0,boot_8000A7A0,A350
8000C140,boot_8000C140,BCF0
8000C7F0,boot_8000C7F0,C3A0
8000F7B0,boot_8000F7B0,F360
80011CB0,boot_80011CB0,11860
800121B0,boot_800121B0,11D60
80013130,boot_80013130,12CE0
800135C0,boot_800135C0,13170
80013660,boot_80013660,13210
80014B60,boot_80014B60,14710
800171D0,boot_800171D0,16D80
80017300,boot_80017300,16EB0
8001BE70,boot_8001BE70,1BA20
8001C110,boot_8001C110,1BCC0
8001C860,boot_8001C860,1C410
8001D6C0,boot_8001D6C0,1D270
8001E830,boot_8001E830,1E3E0
8001F110,boot_8001F110,1ECC0
8001F1F0,boot_8001F1F0,1EDA0
8001F4F0,boot_8001F4F0,1F0A0
8001F680,boot_8001F680,1F230
80020340,boot_80020340,1FEF0
800206B0,boot_800206B0,20260
800215A0,boot_800215A0,21150
80023130,boot_80023130,22CE0
80025030,boot_80025030,24BE0
80027380,boot_80027380,26F30
80027430,boot_80027430,26FE0
8002B6B0,boot_8002B6B0,2B260
8002D010,boot_8002D010,2CBC0
8002D260,boot_8002D260,2CE10
8002EB60,boot_8002EB60,2E710
80032FA0,boot_80032FA0,32B50
80033BD0,boot_80033BD0,33780
800341C0,boot_800341C0,33D70
80036330,boot_80036330,35EE0
80037AE0,boot_80037AE0,37690
80037F00,boot_80037F00,37AB0
80038B50,boot_80038B50,38700
8003C500,boot_8003C500,3C0B0
8003F700,boot_8003F700,3F2B0
8003FB90,boot_8003FB90,3F740
8003FC30,boot_8003FC30,3F7E0
80040440,boot_80040440,3FFF0
80040F20,boot_80040F20,40AD0
80041670,boot_80041670,41220
800422A0,fault,41E50
80042840,boot_80042840,423F0
80048F50,boot_80048F50,48B00
80048F60,boot_80048F60,48B10
80049160,boot_80049160,48D10
80049C90,boot_80049C90,49840
8004AAC0,boot_8004AAC0,4A670
8004CE60,boot_8004CE60,4CA10
8004D0B0,boot_8004D0B0,4CC60
8004D120,boot_8004D120,4CCD0
8004D1C0,boot_8004D1C0,4CD70
8004D260,boot_8004D260,4CE10
8004D2E0,boot_8004D2E0,4CE90
8004D680,boot_8004D680,4D230
8004D700,boot_8004D700,4D2B0
8004D860,boot_8004D860,4D410
8004D8F0,boot_8004D8F0,4D4A0
8004DF60,boot_8004DF60,4DB10
8004E070,boot_8004E070,4DC20
8004EAE0,boot_8004EAE0,4E690
8004EB10,boot_8004EB10,4E6C0
8004EB70,boot_8004EB70,4E720
8004F6A0,boot_8004F6A0,4F250
8004FC00,boot_8004FC00,4F7B0
8004FC50,boot_8004FC50,4F800
800503B0,boot_800503B0,4FF60
80050580,boot_80050580,50130
80050600,initialize,501B0
80050AA0,createthread,50650
80050BF0,startthread,507A0
80050D40,setthreadpri,508F0
80050E20,boot_80050E20,509D0
80050EC0,boot_80050EC0,50A70
80050F40,boot_80050F40,50AF0
800511D0,boot_800511D0,50D80
800514F0,boot_800514F0,510A0
80051550,recvmesg,51100
80051690,boot_80051690,51240
800516E0,createmesgqueue,51290
80051710,boot_80051710,512C0
800517D0,boot_800517D0,51380
80051960,boot_80051960,51510
80051C40,boot_80051C40,517F0
80052140,boot_80052140,51CF0
80052350,boot_80052350,51F00
80052920,boot_80052920,524D0
80052FB0,boot_80052FB0,52B60
80053190,boot_80053190,52D40
800532E0,boot_800532E0,52E90
800532F0,boot_800532F0,52EA0
80053340,invaldcache,52EF0
800533F0,boot_800533F0,52FA0
800534B0,boot_800534B0,53060
80053550,boot_80053550,53100
80053560,boot_80053560,53110
800535C0,boot_800535C0,53170
80053630,boot_80053630,531E0
80053790,boot_80053790,53340
800537E0,boot_800537E0,53390
80053850,boot_80053850,53400
80053860,boot_80053860,53410
800538E0,boot_800538E0,53490
80053960,boot_80053960,53510
800539A0,boot_800539A0,53550
80053A00,boot_80053A00,535B0
80053C60,boot_80053C60,53810
80053FC0,sinf,53B70
80054180,cosf,53D30
800542F0,boot_800542F0,53EA0
800543D0,boot_800543D0,53F80
80054400,boot_80054400,53FB0
80054710,boot_80054710,542C0
80054770,boot_80054770,54320
800547F0,boot_800547F0,543A0
80054B30,boot_80054B30,546E0
80054B70,boot_80054B70,54720
80054BB0,boot_80054BB0,54760
80054C70,boot_80054C70,54820
80055040,boot_80055040,54BF0
800553B0,boot_800553B0,54F60
800553C0,boot_800553C0,54F70
80055630,boot_80055630,551E0
80055820,boot_80055820,553D0
80055910,boot_80055910,554C0
80055B40,boot_80055B40,556F0
80055D70,boot_80055D70,55920
80055E20,boot_80055E20,559D0
80056050,boot_80056050,55C00
800568C0,boot_800568C0,56470
80057520,boot_80057520,570D0
80057540,boot_80057540,570F0
800575B0,boot_800575B0,57160
80057600,boot_80057600,571B0
80057F80,boot_80057F80,57B30
80057FE0,boot_80057FE0,57B90
80057FF0,boot_80057FF0,57BA0
80058080,boot_80058080,57C30
80058180,boot_80058180,57D30
800581D0,boot_800581D0,57D80
80058240,boot_80058240,57DF0
800582B0,boot_800582B0,57E60
80058510,boot_80058510,580C0
800586A0,crc,58250
80058810,boot_80058810,583C0
80058890,boot_80058890,58440
80058AC0,boot_80058AC0,58670
80058EF0,boot_80058EF0,58AA0
80059070,boot_80059070,58C20
80059180,boot_80059180,58D30
800592A0,boot_800592A0,58E50
800592D0,boot_800592D0,58E80
80059FB0,boot_80059FB0,59B60
8005A010,boot_8005A010,59BC0
8005A030,boot_8005A030,59BE0
8005A100,boot_8005A100,59CB0
8005A700,boot_8005A700,5A2B0
8005AA00,boot_8005AA00,5A5B0
8005AA10,boot_8005AA10,5A5C0
8005AA20,boot_8005AA20,5A5D0
8005AAB0,boot_8005AAB0,5A660
8005AAE0,boot_8005AAE0,5A690
8005AD10,boot_8005AD10,5A8C0
8005B000,boot_8005B000,5ABB0
8005B030,voicecrc,5ABE0
8005B0D0,boot_8005B0D0,5AC80
8005B750,boot_8005B750,5B300
8005B760,boot_8005B760,5B310
8005B780,boot_8005B780,5B330
8005C400,boot_8005C400,5BFB0
8005CF30,boot_8005CF30,5CAE0
8005D220,boot_8005D220,5CDD0
8005D330,boot_8005D330,5CEE0
8005D570,boot_8005D570,5D120
8005D680,boot_8005D680,5D230
8005D8D0,boot_8005D8D0,5D480
8005DB00,boot_8005DB00,5D6B0
8005DB10,boot_8005DB10,5D6C0
8005DDB0,boot_8005DDB0,5D960
8005E920,boot_8005E920,5E4D0
8005EA80,boot_8005EA80,5E630
8005EBE0,boot_8005EBE0,5E790
8005EC30,boot_8005EC30,5E7E0
8005ECD0,boot_8005ECD0,5E880
8005ED50,boot_8005ED50,5E900
8005F8D0,boot_8005F8D0,5F480
8005FA60,boot_8005FA60,5F610
