80000400,entrypoint
80000450,bootproc
800004B4,func_800004B4
8000BD70,func_8000BD70
8000C040,func_8000C040
80037AE0,func_80037AE0
80037AE8,func_80037AE8
80037B1C,func_80037B1C_RomToRam
80038B50,Math_FTanF
80038F18,Math_FCscF
80038F40,Math_FSecF
80038F68,Math_FCotF
800426B4,Fault_ThreadEntry
800427C8,Fault_Start
80049A48,memset
80049A78,strcpy
80049AAC,strlen
80049AF0,memset_internal # ?
80050600,__createSpeedParam
8005069C,func_8005069C
8005069C,osInitialize
80050948,__osInitialize_autodetect
80050950,func_80050950
80050AA0,osCreateThread
80050BF0,osStartThread
80050D40,osSetThreadPri
80050E20,bzero
80050EC0,osVirtualToPhysical
80051550,osRecvMesg
80051690,osYieldThread
800516E0,osCreateMesgQueue
80052350,__ull_rshift
8005237C,__ull_rem
800523B8,__ull_div
800523F4,__ll_lshift
80052420,__ll_rem
8005245C,__ll_div
800524B8,__ll_mul
800524E8,__ull_divremi
80052548,__ll_mod
800525E4,__ll_rshift
80052610,bcopy
80053190,osSendMesg
80053340,osInvalDCache
80053560,osViSetMode
800535C0,osViBlack
80053790,osViSetYScale
80053860,osInvalICache
80053A00,osSetIntMask
80053AA0,guOrthoF
80053BF4,guOrtho
80053FA0,osGetThreadId
80053FC0,__sinf
80054180,__cosf
800542F0,coss
80054320,sins
80054770,osWriteBackDCache
80054B70,osViGetNextFramebuffer
80054BB0,osVoiceStartReadData
80054C70,osVoiceGetReadData
80055040,osVoiceStopReadData
80055160,osGetIntMask
800551C0,__osVoiceSetADConverter
800553C0,osAiSetNextBuffer
80055450,osStopThread
80055510,bcmp
80055630,__osVoiceGetStatus
80055910,__osVoiceContRead2
80055B40,__osVoiceContWrite4
80055D70,__osVoiceCheckResult
80055E20,__osVoiceContWrite20
80057520,__osSetSR
80057530,__osGetSR
80057540,__osSetFpcCsr
80057550,__osGetWatchLo
80057560,__osSiRawReadIo
80057600,__osExceptionPreamble
80057610,__osException
80057B5C,send_mesg
80057C10,handle_CpU
80057C44,__osEnqueueAndYield
80057D44,__osEnqueueThread
80057D8C,__osPopThread
80057D9C,__osNop
80057DA4,__osDispatchThread
80057F20,__osCleanupThread
80057F30,osUnmapTLBAll
80057F80,osMapTLBRdb
80057FE0,__osGetCause
80057FF0,__osDisableInt
80058060,__osRestoreInt
80058080,__osDequeueThread
80058080,__osProbeTLB
80058180,guMtxIdentF
800581D0,guMtxF2L
80058240,guMtxL2F
800583F0,__osSiGetAccess
80058434,__osSiRelAccess
80058460,__osSiRawStartDma
800586A0,__osContAddressCrc
80058770,__osContDataCrc
80058EF0,osJamMesg
80059040,osPiGetCmdQueue
800592D0,_Printf
80059918,_Putfld
80059FB0,guNormalize
8005A100,__osEPiRawStartDma
8005A2E0,__osDevMgrMain
8005A6F0,__osViGetCurrentContext
8005A700,__osViSwapContext
8005AAE0,__osVoiceContRead36
8005B030,__osVoiceContDataCrc
8005D540,__osSiDeviceBusy
8005D570,osDestroyThread
8005DB10,_Litob
8005DDB0,_Ldtob
8005E240,_Ldunscale
8005E2F8,_Genld
8005E8C0,__osResetGlobalIntMask
8005E920,__osEPiRawWriteIo
8005EA80,__osEPiRawReadIo
8005EBE0,__osSetGlobalIntMask

