offset,vram,.text
0,80000450,boot_main
C0,80000510,boot_80000510
1610,80001A60,boot_80001A60
3D80,800041D0,boot_800041D0
5BB0,80006000,boot_80006000
85B0,80008A00,boot_80008A00
8D50,800091A0,boot_800091A0
A530,8000A980,boot_8000A980
ABE0,8000B030,boot_8000B030
10020,80010470,boot_80010470
10520,80010970,boot_80010970
114A0,800118F0,boot_800118F0
11930,80011D80,boot_80011D80
119D0,80011E20,boot_80011E20
12EC0,80013310,boot_80013310
154D0,80015920,boot_80015920
15600,80015A50,boot_80015A50
19E40,8001A290,boot_8001A290
1A0E0,8001A530,boot_8001A530
1A430,8001A880,boot_8001A880
1A830,8001AC80,boot_8001AC80
1B690,8001BAE0,boot_8001BAE0
1C800,8001CC50,boot_8001CC50
1D0E0,8001D530,boot_8001D530
1D1C0,8001D610,boot_8001D610
1D4C0,8001D910,boot_8001D910
1D650,8001DAA0,boot_8001DAA0
1E310,8001E760,boot_8001E760
1E680,8001EAD0,boot_8001EAD0
1F570,8001F9C0,boot_8001F9C0
23800,80023C50,boot_80023C50
24670,80024AC0,boot_80024AC0
24C00,80025050,boot_80025050
24CB0,80025100,boot_80025100
258C0,80025D10,boot_80025D10
28680,80028AD0,boot_80028AD0
28DE0,80029230,boot_80029230
29EB0,8002A300,boot_8002A300
2A610,8002AA60,boot_8002AA60
2A860,8002ACB0,boot_8002ACB0
2F410,8002F860,boot_8002F860
30460,800308B0,boot_800308B0
31090,800314E0,boot_800314E0
31680,80031AD0,boot_80031AD0
33650,80033AA0,boot_80033AA0
34E00,80035250,boot_80035250
35220,80035670,boot_80035670
35260,800356B0,boot_800356B0
35A00,80035E50,boot_80035E50
3A990,8003ADE0,boot_8003ADE0
3D090,8003D4E0,boot_8003D4E0
3D4D0,8003D920,boot_8003D920
3DBA0,8003DFF0,boot_8003DFF0
3E7D0,8003EC20,boot_8003EC20
3ED70,8003F1C0,boot_8003F1C0
45480,800458D0,boot_800458D0
45490,800458E0,boot_800458E0
45690,80045AE0,boot_80045AE0
461C0,80046610,boot_80046610
46FF0,80047440,boot_80047440
49050,800494A0,boot_800494A0
490F0,80049540,boot_80049540
49190,800495E0,boot_800495E0
49210,80049660,boot_80049660
492A0,800496F0,boot_800496F0
494B0,80049900,boot_80049900
49590,800499E0,boot_800499E0
49610,80049A60,boot_80049A60
49770,80049BC0,boot_80049BC0
49800,80049C50,boot_80049C50
49EE0,8004A330,boot_8004A330
49FF0,8004A440,boot_8004A440
4AA30,8004AE80,boot_8004AE80
4AA60,8004AEB0,boot_8004AEB0
4AAC0,8004AF10,boot_8004AF10
4B550,8004B9A0,boot_8004B9A0
4B600,8004BA50,boot_8004BA50
4BB60,8004BFB0,boot_8004BFB0
