offset,vram,.text
0,80000450,boot_main
C0,80000510,boot_80000510
2F80,800033D0,boot_800033D0
35F0,80003A40,boot_80003A40
3700,80003B50,boot_80003B50
4220,80004670,boot_80004670
4520,80004970,boot_80004970
4680,80004AD0,boot_80004AD0
4D50,800051A0,boot_800051A0
5380,800057D0,boot_800057D0
71B0,80007600,boot_80007600
A350,8000A7A0,boot_8000A7A0
BCF0,8000C140,boot_8000C140
C3A0,8000C7F0,boot_8000C7F0
F360,8000F7B0,boot_8000F7B0
11860,80011CB0,boot_80011CB0
11D60,800121B0,boot_800121B0
12CE0,80013130,boot_80013130
13170,800135C0,boot_800135C0
13210,80013660,boot_80013660
14710,80014B60,boot_80014B60
16D80,800171D0,boot_800171D0
16EB0,80017300,boot_80017300
1BA20,8001BE70,boot_8001BE70
1BCC0,8001C110,boot_8001C110
1C410,8001C860,boot_8001C860
1D270,8001D6C0,boot_8001D6C0
1E3E0,8001E830,boot_8001E830
1ECC0,8001F110,boot_8001F110
1EDA0,8001F1F0,boot_8001F1F0
1F0A0,8001F4F0,boot_8001F4F0
1F230,8001F680,boot_8001F680
1FEF0,80020340,boot_80020340
20260,800206B0,boot_800206B0
21150,800215A0,boot_800215A0
22CE0,80023130,boot_80023130
24BE0,80025030,boot_80025030
26F30,80027380,boot_80027380
26FE0,80027430,boot_80027430
2B260,8002B6B0,boot_8002B6B0
2CBC0,8002D010,boot_8002D010
2CE10,8002D260,boot_8002D260
2E710,8002EB60,boot_8002EB60
32B50,80032FA0,boot_80032FA0
33780,80033BD0,boot_80033BD0
33D70,800341C0,boot_800341C0
35EE0,80036330,boot_80036330
37690,80037AE0,boot_80037AE0
37AB0,80037F00,boot_80037F00
38700,80038B50,boot_80038B50
3C0B0,8003C500,boot_8003C500
3F2B0,8003F700,boot_8003F700
3F740,8003FB90,boot_8003FB90
3F7E0,8003FC30,boot_8003FC30
3FFF0,80040440,boot_80040440
40AD0,80040F20,boot_80040F20
41220,80041670,boot_80041670
41E50,800422A0,fault
423F0,80042840,boot_80042840
48B00,80048F50,boot_80048F50
48B10,80048F60,boot_80048F60
48D10,80049160,boot_80049160
49840,80049C90,boot_80049C90
4A670,8004AAC0,boot_8004AAC0
4C450,8004C8A0,boot_8004C8A0
4CA10,8004CE60,boot_8004CE60
4CC60,8004D0B0,boot_8004D0B0
4CCD0,8004D120,boot_8004D120
4CD70,8004D1C0,boot_8004D1C0
4CE10,8004D260,boot_8004D260
4CE90,8004D2E0,boot_8004D2E0
4D230,8004D680,boot_8004D680
4D2B0,8004D700,boot_8004D700
4D410,8004D860,boot_8004D860
4D4A0,8004D8F0,boot_8004D8F0
4DB10,8004DF60,boot_8004DF60
4DC20,8004E070,boot_8004E070
